Date of Measurement,Device Model,Operating System Version,Task Type,Brightness Level (%),Battery Life (hours:minutes),Battery Health (%),Device Temperature (°C),CPU Utilization (%),Memory Usage (% RAM)
2025-04-12,HP Spectre x360,Windows 11 23H2,Idle,93.84453410427665,2:53,99.62587118914793,44.72458786166823,78.49848595813587,31.738656869944048
2025-05-05,Surface Pro 9,iPadOS 17.4,Video Editing,40.61732646747544,3:20,99.45695211915182,51.322609625545724,74.66017010624405,51.486109832525614
2025-04-27,iPhone 15 Pro,iPadOS 17.4,Idle,91.79529822685451,3:03,99.87526648256274,36.00154799712133,64.18517575083308,40.40188371480227
2025-04-19,Galaxy S22,iPadOS 17.4,Coding,86.29569842400409,3:31,85.53149980977439,39.85347080616515,54.579883285106646,39.03190331402299
2025-05-10,Dell XPS 13,iPadOS 17.4,Video Editing,39.39207041942293,5:16,104.84581114904752,54.86273467787984,39.82670884512595,79.87753223801926
2025-05-12,Galaxy S22,Android 13,Video Editing,89.25236226808539,6:47,93.96308428980497,43.55149879015106,65.45763033092517,84.58343089501733
2025-05-06,Dell XPS 13,iPadOS 17.4,Gaming,38.896104627142165,2:50,93.68893769209916,36.587966241431175,71.94596357565416,73.91939621191779
2025-04-15,"MacBook Pro 14""",Windows 11 23H2,Idle,30.705428878460985,8:02,98.21369837237694,46.74512752492658,27.517416173712256,77.15646639281157
2025-05-03,iPad Air 5,iPadOS 17.4,Streaming,83.92219573214193,9:46,94.14640393624173,39.37453756808213,68.71692142848958,18.672976599993255
2025-04-21,Dell XPS 13,Android 14,Video Editing,77.29388609571284,6:53,83.51727911066753,55.557338182306026,56.91491283512328,38.195740056027766
2025-05-07,"MacBook Pro 14""",Windows 11 23H2,Idle,92.18900670151592,5:04,86.57312492060841,66.01231979685353,82.72987923053499,42.715232019319394
2025-05-08,Pixel 7,ios 17.4,Streaming,104.19700083022686,5:14,91.38246293615288,53.71160814758963,65.66069696571621,43.733289809424335
2025-05-05,iPad Air 5,iPadOS 17.4,Video Editing,68.00066914940967,8:53,98.34465823222145,31.880469213213807,60.581248182377614,61.92374561570483
2025-05-09,"MacBook Pro 14""",Windows 11 23H2,Video Editing,89.96090265168792,3:49,90.50408781553799,42.48183615668608,86.45019976791814,34.28545638910425
2025-05-07,Surface Pro 9,Windows 11 23H2,Video Editing,89.75640349821488,4:46,98.53102963467393,50.722321614269894,49.41236652563662,29.698060246402143
2025-04-06,Dell XPS 13,ios 17.4,Coding,58.685747686327716,2:43,87.74955936544796,48.1285271200639,37.77726575979263,24.632342072843688
2025-05-11,Dell XPS 13,Android 14,Video Editing,82.66130899033324,6:53,85.8604734556476,49.84591420666115,59.02381069444653,38.079265771626446
2025-05-08,HP Spectre x360,iPadOS 17.4,Coding,89.61233517846745,4:44,90.11586279465679,45.75154994399706,23.490792530408978,31.721436056288166
2025-05-04,iPad Air 5,macOS 13.3.1,Gaming,51.979335025743495,6:01,106.97031992382503,60.60834939864635,82.81593591149323,82.687212603815
2025-05-14,Lenovo Yoga 9i,Windows 11 23H2,Idle,53.04343807583679,6:36,95.1321519324529,46.643342315802876,13.983172919423216,47.045529614099834
2025-05-03,Pixel 7,iPadOS 17.4,Streaming,20.820962299771445,3:50,89.7237357657326,40.06379365340619,50.87120003385295,32.24803569210478
2025-04-22,"MacBook Pro 14""",Windows 11 23H2,Idle,26.234468125881694,9:24,86.60608136148798,37.19927301864534,16.601899914456112,73.86435766286615
2025-05-19,Galaxy S22,ios 17.4,Video Editing,37.03448924235433,4:28,86.0532703420597,30.081085279471903,66.2908737158456,31.109717110141688
2025-04-18,Lenovo Yoga 9i,Windows 11 23H2,Gaming,53.59079204285172,9:26,87.8338462373766,43.55846926584245,33.15515933630354,29.200168779449058
2025-04-09,Surface Pro 9,macOS 13.3.1,Idle,95.59038766862008,4:17,101.68971201978137,30.93251498580789,66.08048144410854,71.01622403950046
2025-04-19,Dell XPS 13,ios 17.4,Coding,79.20264099582506,9:57,76.55485028709994,42.18922118669735,83.00487553293456,45.40711309196153
2025-05-14,Pixel 7,iPadOS 17.4,Streaming,21.640353793617663,3:50,86.34717573548923,46.23852308627256,49.18569052843926,22.987403519049813
2025-04-09,"MacBook Pro 14""",ios 17.4,Gaming,75.98148055596222,4:15,94.44543553359831,35.03275914873145,9.85560608506438,30.677539321303822
2025-04-24,Dell XPS 13,ios 17.4,Gaming,103.52251251005502,7:06,93.90202453386827,46.81734020045962,62.01477003220237,88.19173089836559
2025-05-03,iPhone 15 Pro,Android 13,Gaming,97.32041128953577,3:51,85.20526450709784,41.77627123795505,66.40695108973124,29.651689604906316
2025-04-17,Dell XPS 13,Android 13,Coding,57.94993463350897,8:47,88.36648458192423,42.522550500003156,75.59044425101676,27.388125331303122
2025-04-05,Galaxy S22,iPadOS 17.4,Coding,84.85741615669633,3:31,73.92073057622443,36.964007926483205,59.95638632994646,38.82784709070236
2025-05-10,Galaxy S22,macOS 13.3.1,Gaming,47.575264776407565,3:36,80.93416918906182,39.18460515873502,77.7367896827997,44.736570662375826
2025-05-07,Surface Pro 9,Windows 11 23H2,Video Editing,89.79366122811648,4:46,95.71320973818506,52.53087115985667,54.87070753553176,27.057504007123562
2025-04-15,Galaxy Tab S8,Android 13,Video Editing,81.02437688197111,3:41,106.65614482257978,32.59357416856606,59.21354753317421,73.11598530501047
2025-04-24,Dell XPS 13,Windows 11 23H2,Coding,77.18089891880875,9:11,94.59915397588902,41.227473650112664,93.68496595866259,72.28514981408773
2025-05-03,Dell XPS 13,ios 17.4,Coding,79.12353972482295,9:57,82.69286076775063,39.93822460475465,77.64869833793148,49.30972813786935
2025-04-08,Galaxy S22,iPadOS 17.4,Coding,83.97099060522342,3:31,88.79259704724176,32.53239437797191,58.82064867440558,45.594462717628346
2025-05-06,Galaxy S22,macOS 13.3.1,Gaming,45.23605318643206,3:36,85.6012986575577,47.00695746843584,85.80923796112496,49.42254418326717
2025-05-02,Lenovo Yoga 9i,iPadOS 17.4,Streaming,41.427019363781454,10:59,81.97252581674942,36.76014401049977,39.6985476019559,69.65289208747818
2025-04-17,iPad Air 5,macOS 13.3.1,Video Editing,85.70130247099289,2:52,98.25955970985137,50.836210858314544,60.13243649524864,51.25232895606899
2025-04-04,Dell XPS 13,ios 17.4,Coding,51.469039856564045,2:43,85.81253188980129,53.0166278221545,23.503262093388216,27.60219476304429
2025-05-26,Surface Pro 9,iPadOS 17.4,Video Editing,41.28220554989362,3:20,95.28432914175787,37.220116713253404,83.82627181211896,47.620108210758
2025-04-06,Galaxy Tab S8,Android 13,Video Editing,83.50812628995224,3:41,109.0608863712393,35.2807779375052,59.411827189092904,75.08716103038338
2025-04-11,HP Spectre x360,macOS 13.3.1,Video Editing,91.62833541480103,9:44,98.38556486269077,51.72160706349963,72.66698055361934,43.55283240463052
2025-04-13,Dell XPS 13,ios 17.4,Idle,69.16191726964205,3:27,98.32645770600938,52.745311929106336,71.13508808996441,80.82457914247637
2025-04-29,Surface Pro 9,iPadOS 17.4,Video Editing,52.9818284017962,3:20,94.79110972293448,31.690855205761252,83.39963839436268,51.4345258835714
2025-04-27,Lenovo Yoga 9i,Android 14,Gaming,38.40960324303804,7:27,93.39372111226088,55.74129569798267,7.598595724138237,72.05722372162464
2025-05-01,iPhone 15 Pro,Android 13,Idle,61.6420957494434,8:35,82.53181008163722,56.814950744465065,59.44406558797024,33.05178026714058
2025-04-30,Pixel 7,macOS 13.3.1,Streaming,55.889890788502036,2:38,94.44710750789359,46.041585312493666,64.9610997249244,77.03238276637666
2025-04-29,"MacBook Pro 14""",ios 17.4,Gaming,49.68206202944088,6:27,96.99639140502747,46.67841005951331,41.31771032550606,35.534677538108284
2025-04-25,Galaxy S22,Windows 11 23H2,Video Editing,39.93927167548584,2:44,96.0055364106042,42.02774784680219,60.88603949032863,58.241299656147476
2025-04-08,Dell XPS 13,iPadOS 17.4,Idle,46.288746635358486,4:06,88.06034567253562,40.879985642471425,53.41398833521703,51.201523423263716
2025-05-05,HP Spectre x360,macOS 13.3.1,Coding,43.740997449011694,4:37,78.5891648633042,45.23844462532714,62.8958706181233,19.712831081662767
2025-05-14,iPad Air 5,macOS 13.3.1,Gaming,63.42014445994207,6:01,96.26337816752581,51.43761847636361,89.51293480920987,71.83885704650044
2025-04-09,HP Spectre x360,macOS 13.3.1,Video Editing,92.80476347490313,9:44,95.68439737077178,57.50753720655332,79.03291502365829,41.94101152241442
2025-04-17,iPad Air 5,iPadOS 17.4,Streaming,81.68786610034651,9:46,91.88970346160951,40.65144472412517,66.58372174247003,31.86188914971643
2025-04-23,iPhone 15 Pro,Android 13,Gaming,93.10942909015195,3:51,92.67109523753706,38.2827546041547,63.99701444383983,30.96718452085838
2025-05-11,Lenovo Yoga 9i,Windows 11 23H2,Gaming,57.517172228552084,9:26,96.38643305242601,43.56016514791642,22.773127395934218,31.644871164371523
2025-05-02,iPad Air 5,ios 17.4,Gaming,80.13637777718668,4:51,92.5994617408378,47.45390959549477,73.1315285083483,66.8866854960764
2025-04-26,Galaxy S22,Windows 11 23H2,Streaming,56.60100958216687,2:21,78.51702733556705,47.60904295198861,50.329020380196035,61.43817951046633
2025-05-03,Dell XPS 13,iPadOS 17.4,Video Editing,35.93885966826676,5:16,104.82280391522434,57.24482100454562,39.54816449623548,79.85342192773102
2025-04-26,HP Spectre x360,Windows 11 23H2,Idle,94.03529801220336,2:53,101.60675286710217,47.907937508585256,79.36399091307544,37.22160116936192
2025-05-02,"MacBook Pro 14""",Windows 11 23H2,Idle,86.9990378439289,5:04,93.27161231268357,50.714584172800095,91.38091774158008,39.057791613751945
2025-05-15,"MacBook Pro 14""",Windows 11 23H2,Idle,27.294452319341843,9:24,110.72793286067245,33.1956529535455,21.093413595006716,73.1613412786139
2025-04-07,"MacBook Pro 14""",ios 17.4,Gaming,69.28696955662302,4:15,87.49817431984394,30.2669178552902,15.190418925404856,20.952279502384993
2025-05-08,Dell XPS 13,iPadOS 17.4,Gaming,43.80751269598304,2:50,95.82851017088566,40.50025876326586,71.85185500009018,80.12726402163271
2025-04-13,"MacBook Pro 14""",macOS 13.3.1,Idle,78.85113274274178,9:47,93.27546401263105,53.983783383180636,41.839661284146295,33.68648366642461
2025-05-10,HP Spectre x360,iPadOS 17.4,Coding,77.3928669051723,6:37,94.6839677170545,43.99312348347234,14.863015518233304,46.43165543882566
2025-04-30,Dell XPS 13,Android 14,Video Editing,80.41127658361074,6:53,89.07511998758036,48.61759386358041,64.76455819329934,42.65563046984184
2025-05-08,Dell XPS 13,macOS 13.3.1,Idle,45.184851713700645,3:41,93.04078118014759,46.00318728410359,19.802376946171393,23.999730508371524
2025-05-08,iPad Air 5,macOS 13.3.1,Gaming,54.04771894696588,6:01,96.3376676518215,52.94246750729567,83.35016968199156,70.21857347634257
2025-04-30,iPad Air 5,macOS 13.3.1,Gaming,53.41501190325895,6:01,105.04666040886175,54.826092968465645,81.82016955015098,80.97206744509255
2025-04-20,iPad Air 5,Android 13,Gaming,70.27962634234103,3:48,98.83814008722106,46.62311477089807,18.917197267280166,72.82801607957556
2025-05-17,Pixel 7,Android 13,Gaming,29.285503969292655,2:35,93.027374412851,52.24258968231167,69.53049031429514,81.07527672215258
2025-04-11,iPad Air 5,ios 17.4,Gaming,79.57004532523497,4:51,99.53845675347782,52.88994796622566,70.71950444101202,54.860429692111815
2025-05-08,iPhone 15 Pro,Android 13,Video Editing,65.97844122590091,4:55,77.20736970991899,36.695714156108,79.43141630828654,57.74350607644847
2025-05-05,iPad Air 5,Android 13,Idle,30.517882779554228,2:32,102.99713533077613,45.08281307701375,29.013632126071407,51.24607664336391
2025-04-17,Dell XPS 13,iPadOS 17.4,Idle,51.71534422563301,4:06,94.56951604040994,45.099654695109194,56.581423733529114,46.48468189510824
2025-05-07,Dell XPS 13,Windows 11 23H2,Coding,81.03746843812824,9:11,93.68513685793609,38.28569214037579,85.81244368458279,71.34759056114221
2025-05-01,"MacBook Pro 14""",Android 13,Video Editing,22.159590254076154,9:24,98.04730983759555,51.85837543870501,27.356624956370755,39.77748053675727
2025-04-28,Surface Pro 9,Android 13,Gaming,77.05847603446364,4:42,92.13305863400747,48.10095169250084,54.39404434265042,67.45777571880217
2025-04-28,Galaxy S22,Android 13,Idle,58.43410462050981,10:45,91.70654960146553,48.58982714440907,34.474621679618906,50.483578151733994
2025-05-05,Dell XPS 13,Android 14,Video Editing,84.36472363969948,6:53,89.33908568600951,56.723002325155456,53.219236194201976,38.83308234585855
2025-04-29,Dell XPS 13,iPadOS 17.4,Idle,55.17483843397171,4:06,98.46812780241628,51.23759574091751,50.960679128771,51.20732191564506
2025-05-02,Dell XPS 13,ios 17.4,Coding,75.76255802777126,9:57,91.26928133216467,38.73235678158085,73.90629687893244,39.78023773573408
2025-05-03,Galaxy S22,ios 17.4,Video Editing,34.27969355835705,4:28,84.13392253922302,44.93606288696657,65.74769668779179,31.246131483303927
2025-04-29,Pixel 7,Android 13,Idle,81.74382894807813,2:08,83.97776931644,52.022504020423604,90.02870955516559,67.25360930453536
2025-05-10,Galaxy Tab S8,ios 17.4,Idle,24.28080108711814,9:21,82.66809536817519,51.769311672378976,18.668096652726064,43.9078681865977
2025-04-30,Pixel 7,Windows 11 23H2,Idle,56.983888378393004,6:01,89.44046332043811,38.6064272654654,41.95626642942683,70.46008362477885
2025-05-09,Surface Pro 9,iPadOS 17.4,Video Editing,39.64197552021535,3:20,95.1657975127606,40.41397131636032,77.09536027410233,44.24367963339378
2025-04-26,Galaxy S22,Android 13,Idle,61.43757722610679,10:45,99.23696507505812,48.29566035812703,26.69823303131541,51.99875223813656
2025-05-09,Surface Pro 9,iPadOS 17.4,Video Editing,43.32799120604719,3:20,102.14813272573136,39.08334896986329,82.53428393810923,47.28015668035025
2025-05-12,iPhone 15 Pro,Android 13,Idle,54.4430750099812,8:35,95.77957418233822,54.05906180063494,54.29659317855466,33.57574489779534
2025-05-19,Lenovo Yoga 9i,Android 14,Gaming,48.56700095194143,7:27,96.20985835271128,47.33524920448084,12.436887575786864,57.96218755623598
2025-05-02,Galaxy Tab S8,ios 17.4,Idle,19.23800961749518,9:21,89.72482223709278,49.47993138856279,24.134297529339232,46.85884844341743
2025-05-05,Pixel 7,Android 14,Video Editing,44.257452384403116,8:34,102.58036838583672,53.237768815937365,15.878293954098531,54.60317500013795
2025-05-11,Galaxy Tab S8,Windows 11 23H2,Streaming,65.68526115399185,5:52,78.04802087840254,39.32675662002647,56.36041389485422,56.24159034957113
2025-05-15,Galaxy Tab S8,Windows 11 23H2,Streaming,63.91098434210841,5:52,90.52416729878897,35.01998967849779,48.019653127875685,50.237038561315984
2025-04-20,Surface Pro 9,macOS 13.3.1,Idle,62.781558965188104,7:28,108.63247745933428,45.49441211076531,51.72501529481688,42.65875773522475
2025-04-25,"MacBook Pro 14""",Android 13,Video Editing,32.19039513914301,9:24,93.78712181795969,49.637580610347484,23.954572532826983,44.494981456265826
2025-04-27,Galaxy Tab S8,ios 17.4,Idle,28.00139349709149,9:21,88.0434322914065,49.748312688501706,17.75636509204441,44.55658298734323
2025-05-02,Surface Pro 9,macOS 13.3.1,Idle,91.01986313359698,4:17,96.75579225269016,38.13336905793297,67.00288729035088,67.77498430896968
2025-05-05,Galaxy Tab S8,ios 17.4,Idle,24.284850202933743,9:21,88.1262503482815,41.3350983084865,19.1935034984,43.00118198546599
2025-04-12,Surface Pro 9,macOS 13.3.1,Idle,88.10617788908093,4:17,98.48793152998223,40.37754655767739,73.93505542315509,70.59602690217645
2025-04-24,Surface Pro 9,macOS 13.3.1,Idle,50.34501210901411,7:28,98.34455990749794,38.37407351728453,71.103893556226,46.44019534384266
2025-04-22,Galaxy S22,Android 13,Idle,60.58928500383865,10:45,97.68434369714386,41.904223380407096,26.568285358417626,60.90345785387734
2025-04-25,Dell XPS 13,iPadOS 17.4,Coding,103.1031956396763,10:56,100.1626533454377,54.21663972972537,30.73834425761015,33.32787243118615
2025-05-02,Galaxy Tab S8,Windows 11 23H2,Video Editing,44.752888051001634,4:23,101.9254175978448,36.479504431218054,54.349214275696326,62.5357913208122
2025-05-17,Pixel 7,Android 13,Idle,58.54414020300174,8:03,88.00206507208962,42.22418884170969,15.244433950597681,43.763301464062934
2025-04-30,iPad Air 5,macOS 13.3.1,Gaming,51.8232844877016,6:01,102.44209520503959,56.92483885655747,82.7575988518757,74.28016973649979
2025-04-11,Dell XPS 13,iPadOS 17.4,Coding,98.0225936946442,10:56,99.75989367739693,45.615378019599945,33.71217528011385,32.22641498740804
2025-05-01,iPad Air 5,macOS 13.3.1,Video Editing,79.98021279830748,2:52,93.34683944366759,37.66795585665997,66.12503662254746,47.91848703078658
2025-05-03,Galaxy Tab S8,Windows 11 23H2,Streaming,46.48777400638353,4:15,90.11542617275721,26.717904052669905,72.16302574946113,55.95564603138918
2025-04-30,Dell XPS 13,ios 17.4,Idle,65.42490044005658,3:27,97.56307979656934,52.058186505781286,71.09644376383297,80.09953560225568
2025-05-07,iPhone 15 Pro,Android 13,Gaming,91.13212043189718,3:51,88.7661937014717,42.30006374099882,64.34432839905475,27.489694966425304
2025-05-01,Dell XPS 13,ios 17.4,Idle,57.74431828350731,3:27,97.84971886291157,44.942182299320166,67.25070009532038,77.46876956080177
2025-04-19,Galaxy S22,Windows 11 23H2,Gaming,36.48671261927246,3:06,91.47224887022571,51.2881670552023,80.56784218040153,42.46037266686224
2025-05-29,Pixel 7,Android 14,Video Editing,52.29373634211092,8:34,92.48361683023168,53.976664848463564,14.382461889292383,68.76135991616847
2025-04-21,Pixel 7,ios 17.4,Streaming,30.3484044512899,5:54,97.72789542862037,51.502858573720104,52.2566571317211,86.42164529206033
2025-04-18,Dell XPS 13,ios 17.4,Gaming,99.33526165465179,7:06,90.18332272848178,52.09769255921825,73.43456906052161,89.11682149159785
2025-04-22,Galaxy Tab S8,Android 13,Gaming,58.884627454644345,9:31,93.41103869376362,38.01824065252165,86.70010074037054,63.26606223660068
2025-04-12,iPhone 15 Pro,ios 17.4,Idle,31.31736614364754,6:36,80.90606507303706,43.411336534466244,40.00072040017187,47.98148472831185
2025-05-08,iPhone 15 Pro,Windows 11 23H2,Gaming,93.80293743582114,10:38,91.89208715757186,34.41494622234624,45.98726017067848,65.61612486173004
2025-05-10,Pixel 7,ios 17.4,Video Editing,89.32910976975502,10:45,95.79520518407394,48.68786806254591,34.7617865904127,66.88383471011537
2025-04-09,Dell XPS 13,iPadOS 17.4,Coding,103.23180331952183,10:56,96.33377979369158,54.58575011969981,27.67357875333665,37.133812037998155
2025-04-11,Galaxy S22,Windows 11 23H2,Gaming,80.27912143108551,7:59,89.26110292925746,48.063316866297306,66.33029950135484,39.713232914570874
2025-05-23,"MacBook Pro 14""",ios 17.4,Streaming,54.69430991039121,6:55,76.83444128270895,39.343857196802944,17.635517934100015,75.73499565925721
2025-05-01,iPad Air 5,Android 13,Idle,24.566942321410394,2:32,98.35759242748213,42.35053901086546,33.0456521186297,46.42829325831746
2025-04-18,Lenovo Yoga 9i,Windows 11 23H2,Gaming,59.91289398025644,9:26,85.02345937003255,43.03163424762422,27.604064544781266,25.67237518786567
2025-04-25,Surface Pro 9,Windows 11 23H2,Video Editing,85.16984675812206,4:46,100.4008978363733,50.637145995912974,49.51925968071441,33.085538034345696
2025-05-19,Lenovo Yoga 9i,Windows 11 23H2,Idle,55.62126960560917,6:36,91.42587351738467,44.48693233910625,15.922834717748499,37.81544826278322
2025-04-20,Dell XPS 13,iPadOS 17.4,Coding,101.91390945394578,10:56,97.57693353558349,63.148349102871066,26.97652898759647,26.764325217490637
2025-04-12,Galaxy Tab S8,Android 13,Video Editing,80.23747610645208,3:41,95.35013308669994,36.10268835258665,49.22048159098713,75.4894398133027
2025-04-20,Pixel 7,ios 17.4,Streaming,83.72446706314376,5:19,91.53783543176735,37.81634652952289,53.19745756479431,77.02083531403892
2025-05-20,Galaxy S22,ios 17.4,Video Editing,35.79386855673771,4:28,91.94532012546719,38.03822786293362,68.7525612121232,32.305983096663894
2025-05-06,"MacBook Pro 14""",Windows 11 23H2,Video Editing,98.6461251848991,3:49,96.77555187023981,38.905963007977526,83.00368440666355,28.779309883629935
2025-04-13,iPhone 15 Pro,ios 17.4,Idle,22.282884423740775,6:36,95.28124481695077,42.97734108275878,44.31654374776428,50.82857961928042
2025-04-24,Pixel 7,Windows 11 23H2,Idle,67.3407952261368,6:01,101.98062696360473,42.885005526355506,54.03244467142597,59.37947317415879
2025-05-06,Galaxy S22,ios 17.4,Video Editing,33.384800628622585,4:28,88.05057785115501,33.56590427750929,63.29162571229725,25.73903416863947
2025-04-25,Galaxy Tab S8,Android 13,Gaming,28.128628302414214,3:19,97.41198770172818,47.345886862222684,30.486292119334976,45.00776489753743
2025-04-24,Dell XPS 13,macOS 13.3.1,Coding,25.550674382482477,4:31,98.57945448003566,41.65765019849856,29.26626519358317,79.39065448210786
2025-04-27,iPhone 15 Pro,Android 13,Idle,60.41546516379255,8:35,90.41075883807987,47.49561405040554,52.30432707859801,36.47938793386249
2025-04-25,Surface Pro 9,Android 13,Gaming,80.15052818846114,4:42,97.11869574327753,43.063077460912076,48.39634580292873,60.48695360749063
2025-04-26,iPhone 15 Pro,ios 17.4,Idle,28.434455207826126,6:36,89.00570103291821,42.44687776462837,38.2173893922101,55.490562123483656
2025-05-16,Pixel 7,Windows 11 23H2,Gaming,22.847436685851317,4:08,87.75692216347387,30.249844585533012,74.1135630170728,80.78297595237449
2025-05-07,iPad Air 5,Android 13,Idle,31.036471781690636,2:32,97.36200765600488,49.120235836972135,34.78796551247876,58.65227997918092
2025-05-08,iPhone 15 Pro,iPadOS 17.4,Idle,80.93187101605997,3:59,93.80686829888998,39.806195309582336,35.603348338381714,85.77813175696222
2025-04-24,Dell XPS 13,iPadOS 17.4,Idle,38.48480313386882,4:06,95.09934556279956,47.872349333058814,53.674347073112564,40.219446459069516
2025-04-29,Pixel 7,Android 13,Idle,85.30586381894076,2:08,81.73213134340298,50.83104691619832,82.64099543003283,62.47046474787239
2025-05-14,HP Spectre x360,macOS 13.3.1,Gaming,54.63201873573041,8:03,99.92632188009655,45.47863146243493,66.6973931364501,62.46503798496229
2025-05-17,Galaxy S22,macOS 13.3.1,Gaming,35.700797151554,3:36,85.37185399555266,46.34571019242118,79.95157356684325,48.24391994272899
2025-04-27,Dell XPS 13,Windows 11 23H2,Gaming,94.44247566150977,3:58,88.0777554805433,46.30659853159943,71.52277768643559,71.41984900695773
2025-04-23,Surface Pro 9,macOS 13.3.1,Idle,95.45676096081273,4:17,97.60769133908566,26.34702969094279,71.27267382810165,63.00824939124881
2025-05-01,Pixel 7,macOS 13.3.1,Streaming,58.77062346204031,2:38,92.457713107114,43.25939573685944,61.73953992740125,72.69836193035785
2025-05-01,HP Spectre x360,macOS 13.3.1,Gaming,67.38733259417846,8:03,96.88451587248994,40.062221255091664,66.12390503005625,75.0721732562368
2025-05-11,Pixel 7,iPadOS 17.4,Streaming,42.10747509762447,3:50,93.65334280245277,49.27652536984983,53.51938226959485,30.288861057393596
2025-04-08,iPhone 15 Pro,Android 14,Video Editing,61.633893752544104,9:59,93.82929346617169,53.825688446255356,55.23920801861729,36.0098223927436
2025-04-04,Galaxy S22,Windows 11 23H2,Gaming,30.879801095131207,3:06,87.82218523169715,61.7767099614131,88.91473953376871,29.16628474156694
2025-05-05,HP Spectre x360,iPadOS 17.4,Coding,98.92294433375204,4:44,94.48435789712092,50.98402059313992,29.778048110669395,27.156635173199447
2025-05-01,"MacBook Pro 14""",Windows 11 23H2,Idle,28.762405866012205,9:24,98.27054747760242,44.43974244721974,14.21242412393721,78.65654177580869
2025-05-05,iPhone 15 Pro,Windows 11 23H2,Gaming,99.64160531366124,10:38,87.2913726466088,28.999795537603198,41.87302186064345,72.70187519256122
2025-05-02,Pixel 7,Windows 11 23H2,Idle,62.790892572056514,6:01,91.6124041488879,40.04461053350859,54.078127415295384,63.76052498741805
2025-04-05,"MacBook Pro 14""",ios 17.4,Gaming,73.12960636414327,4:15,95.40767242651344,39.32748015378307,12.927152696913526,34.78612764792179
2025-04-11,iPad Air 5,Android 13,Gaming,67.21529788289988,3:48,85.69791723496924,46.95746727881287,26.838884734856503,60.12658560568873
2025-05-05,Dell XPS 13,Windows 11 23H2,Coding,76.61340733541279,9:11,95.30905642864533,43.2059724617704,87.35599970647247,68.18918603451577
2025-05-17,"MacBook Pro 14""",macOS 13.3.1,Idle,33.800522560679475,8:44,90.86818528048718,49.116803929439996,14.01108432135787,73.11215652665692
2025-04-22,iPad Air 5,iPadOS 17.4,Gaming,33.89524935496225,6:35,85.57766543468365,46.28594671144543,75.2419280427718,39.23790897116765
2025-05-05,Pixel 7,Android 13,Idle,56.38901448548944,8:03,91.39579917767377,45.7293871070727,24.601791790732662,46.43997721961634
2025-04-04,Dell XPS 13,ios 17.4,Video Editing,87.55058468516577,5:57,85.83806486988571,34.468221813028144,5.974917398278616,81.67979023416423
2025-04-21,Pixel 7,Windows 11 23H2,Idle,65.01825429230132,6:01,101.54064557307206,42.44049918741204,51.515687722932675,74.40307667403997
2025-05-14,Surface Pro 9,macOS 13.3.1,Idle,62.95848384671328,7:28,100.97459493917967,38.202905027576065,55.06662266587568,50.72381427195527
2025-04-11,iPad Air 5,iPadOS 17.4,Streaming,92.69146649589452,9:46,101.06284209890792,31.28536225532607,67.42345570756984,31.814283258584123
2025-05-01,Lenovo Yoga 9i,iPadOS 17.4,Streaming,37.7178899793167,10:59,87.79465953667915,41.542954964737135,44.39419053588474,84.10344372137943
2025-05-10,Dell XPS 13,ios 17.4,Coding,75.47613939379856,9:57,91.03917760763413,44.77081854661161,79.3108579762337,51.51071140510107
2025-04-27,Galaxy S22,macOS 13.3.1,Video Editing,18.20732037045398,6:16,103.19239084144816,40.78281616285199,62.01122025569297,60.02754502576281
2025-04-28,Lenovo Yoga 9i,Android 14,Gaming,50.516500275813634,7:27,90.78301100703007,55.396843958352264,12.797921530145821,61.52455302577278
2025-04-30,Dell XPS 13,Windows 11 23H2,Coding,84.63524214296886,9:11,86.63934285995087,36.55091028479848,91.33653011349817,77.27597636866588
2025-04-06,Lenovo Yoga 9i,iPadOS 17.4,Gaming,80.4625200631476,8:36,101.27274304201222,37.953442066945556,35.2828756643132,82.5550119336485
2025-04-05,Pixel 7,macOS 13.3.1,Streaming,51.702636548325,2:38,99.79618191353136,43.11487248954759,55.39628453233574,77.45143290781034
2025-05-14,Lenovo Yoga 9i,Android 14,Gaming,41.545226536115415,7:27,91.36346818321695,48.95392453867793,17.54475017996929,57.685339327016614
2025-04-29,Galaxy Tab S8,Android 13,Gaming,50.945227772678415,9:31,96.12921773472854,46.39602144870512,82.14304541559672,59.442961724490004
2025-04-13,Lenovo Yoga 9i,iPadOS 17.4,Gaming,78.82633841023623,8:36,97.61510011064189,34.999568603527756,28.24078335484481,84.68929103265158
2025-04-22,Galaxy S22,macOS 13.3.1,Streaming,99.97342887603496,10:35,82.67119527903697,53.83040926310237,69.79324959038478,74.1979060873672
2025-04-04,Galaxy S22,iPadOS 17.4,Coding,84.12706616743823,3:31,88.8363812093965,37.16036542798034,61.46483448980809,43.45470486939377
2025-05-09,iPhone 15 Pro,Android 13,Idle,69.51483097094552,8:35,98.88431857030828,46.12079532603942,49.2455221933394,39.39683882244276
2025-04-08,"MacBook Pro 14""",ios 17.4,Gaming,72.1056829959421,4:15,96.01493578884713,35.35460722650053,6.899666014416503,29.94873354648687
2025-05-18,Lenovo Yoga 9i,ios 17.4,Coding,59.692172696369454,9:41,86.68614615268827,43.94398996282812,35.057751116261656,62.45588771800906
2025-04-29,Dell XPS 13,ios 17.4,Coding,73.13274247303264,9:57,83.92123842603625,36.670777446575656,83.30818684544867,47.41791928320786
